ID;PRC;DT_ENTD_PRC;RESULTADO
3023;M;04/03/2021;512
3024;N;04/03/2021;469
3025;O;04/03/2021;3236
3026;A;05/03/2021;541
3027;B;05/03/2021;95
3028;C;05/03/2021;574
3029;D;05/03/2021;308
3030;E;05/03/2021;561
3031;F;05/03/2021;325
3032;G;05/03/2021;745
3033;H;05/03/2021;390
3034;I;05/03/2021;453
3035;J;05/03/2021;1375
3036;K;05/03/2021;1325
3037;M;05/03/2021;464
3038;N;05/03/2021;398
3039;O;05/03/2021;3055
3040;A;08/03/2021;451
3041;B;08/03/2021;74
3042;C;08/03/2021;451
3043;D;08/03/2021;285
3044;E;08/03/2021;481
3045;F;08/03/2021;209
3046;G;08/03/2021;699
3047;H;08/03/2021;338
3048;I;08/03/2021;531
3049;J;08/03/2021;1322
3050;K;08/03/2021;1307
3051;L;08/03/2021;192
3052;M;08/03/2021;435
3053;N;08/03/2021;341
3054;O;08/03/2021;4945
3055;A;09/03/2021;572
3056;B;09/03/2021;89
3057;C;09/03/2021;631
3058;D;09/03/2021;330
3059;E;09/03/2021;569
3060;F;09/03/2021;215
3061;G;09/03/2021;812
3062;H;09/03/2021;412
3063;I;09/03/2021;518
3064;J;09/03/2021;1723
3065;K;09/03/2021;1505
3066;L;09/03/2021;1433
3067;M;09/03/2021;377
3068;N;09/03/2021;388
3069;O;09/03/2021;3638
3070;A;10/03/2021;545
3071;B;10/03/2021;104
3072;C;10/03/2021;523
3073;D;10/03/2021;275
3074;E;10/03/2021;580
3075;F;10/03/2021;307
3076;G;10/03/2021;820
3077;H;10/03/2021;389
3078;I;10/03/2021;560
3079;J;10/03/2021;1453
3080;K;10/03/2021;1146
3081;M;10/03/2021;406
3082;N;10/03/2021;392
3083;O;10/03/2021;3362
3084;A;11/03/2021;513
3085;B;11/03/2021;96
3086;C;11/03/2021;589
3087;D;11/03/2021;326
3088;E;11/03/2021;581
3089;F;11/03/2021;336
3090;G;11/03/2021;777
3091;H;11/03/2021;420
3092;I;11/03/2021;545
3093;J;11/03/2021;1470
3094;K;11/03/2021;1301
3095;M;11/03/2021;423
3096;N;11/03/2021;348
3097;O;11/03/2021;2908
3098;A;12/03/2021;461
3099;B;12/03/2021;68
3100;C;12/03/2021;504
3101;D;12/03/2021;290
3102;E;12/03/2021;525
3103;F;12/03/2021;359
3104;G;12/03/2021;729
3105;H;12/03/2021;383
3106;I;12/03/2021;550
3107;J;12/03/2021;1390
3108;K;12/03/2021;1217
3109;M;12/03/2021;370
3110;N;12/03/2021;424
3111;O;12/03/2021;2575
3112;A;15/03/2021;550
3113;B;15/03/2021;161
3114;C;15/03/2021;634
3115;D;15/03/2021;260
3116;E;15/03/2021;556
3117;F;15/03/2021;429
3118;G;15/03/2021;679
3119;H;15/03/2021;368
3120;I;15/03/2021;532
3121;J;15/03/2021;1486
3122;K;15/03/2021;1286
3123;L;15/03/2021;1205
3124;M;15/03/2021;364
3125;N;15/03/2021;340
3126;O;15/03/2021;3655
3127;A;16/03/2021;536
3128;B;16/03/2021;322
3129;C;16/03/2021;553
3130;D;16/03/2021;339
3131;E;16/03/2021;541
3132;F;16/03/2021;404
3133;G;16/03/2021;720
3134;H;16/03/2021;346
3135;I;16/03/2021;515
3136;J;16/03/2021;1461
3137;K;16/03/2021;1492
3138;L;16/03/2021;247
3139;M;16/03/2021;289
3140;N;16/03/2021;336
3141;O;16/03/2021;3063
3142;A;17/03/2021;580
3143;B;17/03/2021;520
3144;C;17/03/2021;608
3145;D;17/03/2021;303
3146;E;17/03/2021;543
3147;F;17/03/2021;418
3148;G;17/03/2021;782
3149;H;17/03/2021;356
3150;I;17/03/2021;749
3151;J;17/03/2021;1293
3152;K;17/03/2021;1166
3153;M;17/03/2021;323
3154;N;17/03/2021;370
3155;O;17/03/2021;2592
3156;A;18/03/2021;557
3157;B;18/03/2021;893
3158;C;18/03/2021;599
3159;D;18/03/2021;286
3160;E;18/03/2021;568
3161;F;18/03/2021;537
3162;G;18/03/2021;729
3163;H;18/03/2021;329
3164;I;18/03/2021;682
3165;J;18/03/2021;1691
3166;K;18/03/2021;1153
3167;L;18/03/2021;142
3168;M;18/03/2021;309
3169;N;18/03/2021;306
3170;O;18/03/2021;2214
3171;A;19/03/2021;435
3172;B;19/03/2021;490
3173;C;19/03/2021;437
3174;D;19/03/2021;201
3175;E;19/03/2021;512
3176;F;19/03/2021;366
3177;G;19/03/2021;646
3178;H;19/03/2021;292
3179;I;19/03/2021;579
3180;J;19/03/2021;1159
3181;K;19/03/2021;1183
3182;L;19/03/2021;317
3183;M;19/03/2021;282
3184;N;19/03/2021;352
3185;O;19/03/2021;2374
3186;A;22/03/2021;514
3187;B;22/03/2021;451
3188;C;22/03/2021;503
3189;D;22/03/2021;270
3190;E;22/03/2021;626
3191;F;22/03/2021;174
3192;G;22/03/2021;648
3193;H;22/03/2021;318
3194;I;22/03/2021;672
3195;J;22/03/2021;1497
3196;K;22/03/2021;1101
3197;L;22/03/2021;18
3198;M;22/03/2021;299
3199;N;22/03/2021;355
3200;O;22/03/2021;3418
3201;A;23/03/2021;522
3202;B;23/03/2021;429
3203;C;23/03/2021;634
3204;D;23/03/2021;317
3205;E;23/03/2021;500
3206;F;23/03/2021;235
3207;G;23/03/2021;606
3208;H;23/03/2021;268
3209;I;23/03/2021;540
3210;J;23/03/2021;1515
3211;K;23/03/2021;1392
3212;M;23/03/2021;255
3213;N;23/03/2021;384
3214;O;23/03/2021;2336
3215;A;24/03/2021;556
3216;B;24/03/2021;367
3217;C;24/03/2021;555
3218;D;24/03/2021;299
3219;E;24/03/2021;375
3220;F;24/03/2021;230
3221;G;24/03/2021;642
3222;H;24/03/2021;305
3223;I;24/03/2021;597
3224;J;24/03/2021;1537
3225;K;24/03/2021;1097
3226;L;24/03/2021;153
3227;M;24/03/2021;305
3228;N;24/03/2021;268
3229;O;24/03/2021;1881
3230;A;25/03/2021;497
3231;B;25/03/2021;359
3232;C;25/03/2021;474
3233;D;25/03/2021;245
3234;E;25/03/2021;327
3235;F;25/03/2021;300
3236;G;25/03/2021;604
3237;H;25/03/2021;277
3238;I;25/03/2021;528
3239;J;25/03/2021;1183
3240;K;25/03/2021;1009
3241;L;25/03/2021;100
3242;M;25/03/2021;282
3243;N;25/03/2021;342
3244;O;25/03/2021;1994
3245;A;26/03/2021;418
3246;B;26/03/2021;299
3247;C;26/03/2021;537
3248;D;26/03/2021;227
3249;E;26/03/2021;342
3250;F;26/03/2021;203
3251;G;26/03/2021;587
3252;H;26/03/2021;264
3253;I;26/03/2021;520
3254;J;26/03/2021;1222
3255;K;26/03/2021;1033
3256;L;26/03/2021;7
3257;M;26/03/2021;251
3258;N;26/03/2021;302
3259;O;26/03/2021;1854
3260;A;29/03/2021;415
3261;B;29/03/2021;244
3262;C;29/03/2021;494
3263;D;29/03/2021;235
3264;E;29/03/2021;245
3265;F;29/03/2021;323
3266;G;29/03/2021;503
3267;H;29/03/2021;222
3268;I;29/03/2021;464
3269;J;29/03/2021;1104
3270;K;29/03/2021;1035
3271;L;29/03/2021;173
3272;M;29/03/2021;284
3273;N;29/03/2021;326
3274;O;29/03/2021;2929
3275;A;30/03/2021;499
3276;B;30/03/2021;330
3277;C;30/03/2021;580
3278;D;30/03/2021;265
3279;E;30/03/2021;252
3280;F;30/03/2021;303
3281;G;30/03/2021;521
3282;H;30/03/2021;279
3283;I;30/03/2021;522
3284;J;30/03/2021;1221
3285;K;30/03/2021;1342
3286;L;30/03/2021;482
3287;M;30/03/2021;340
3288;N;30/03/2021;285
3289;O;30/03/2021;1780
3290;A;31/03/2021;417
3291;B;31/03/2021;319
3292;C;31/03/2021;564
3293;D;31/03/2021;252
3294;E;31/03/2021;208
3295;F;31/03/2021;256
3296;G;31/03/2021;524
3297;H;31/03/2021;236
3298;I;31/03/2021;576
3299;J;31/03/2021;957
3300;K;31/03/2021;1522
3301;M;31/03/2021;362
3302;N;31/03/2021;271
3303;O;31/03/2021;2031
3304;A;01/04/2021;318
3305;B;01/04/2021;227
3306;C;01/04/2021;452
3307;D;01/04/2021;260
3308;E;01/04/2021;86
3309;F;01/04/2021;437
3310;G;01/04/2021;442
3311;H;01/04/2021;221
3312;I;01/04/2021;457
3313;J;01/04/2021;849
3314;K;01/04/2021;1309
3315;L;01/04/2021;59
3316;M;01/04/2021;297
3317;N;01/04/2021;203
3318;O;01/04/2021;1973
3319;A;02/04/2021;1
3320;D;02/04/2021;20
3321;F;02/04/2021;241
3322;L;02/04/2021;160
3323;N;02/04/2021;3
3324;A;05/04/2021;349
3325;B;05/04/2021;208
3326;C;05/04/2021;477
3327;D;05/04/2021;305
3328;E;05/04/2021;117
3329;F;05/04/2021;19
3330;G;05/04/2021;495
3331;H;05/04/2021;240
3332;I;05/04/2021;436
3333;J;05/04/2021;964
3334;K;05/04/2021;2051
3335;L;05/04/2021;2149
3336;M;05/04/2021;381
3337;N;05/04/2021;225
3338;O;05/04/2021;4070
3339;A;06/04/2021;497
3340;B;06/04/2021;261
3341;C;06/04/2021;454
3342;D;06/04/2021;354
3343;E;06/04/2021;233
3344;F;06/04/2021;338
3345;G;06/04/2021;470
3346;H;06/04/2021;228
3347;I;06/04/2021;508
3348;J;06/04/2021;1204
3349;K;06/04/2021;1959
3350;L;06/04/2021;417
3351;M;06/04/2021;468
3352;N;06/04/2021;308
3353;O;06/04/2021;2422
3354;A;07/04/2021;502
3355;B;07/04/2021;572
3356;C;07/04/2021;392
3357;D;07/04/2021;289
3358;E;07/04/2021;200
3359;F;07/04/2021;226
3360;G;07/04/2021;517
3361;H;07/04/2021;305
3362;I;07/04/2021;461
3363;J;07/04/2021;1334
3364;K;07/04/2021;1495
3365;M;07/04/2021;479
3366;N;07/04/2021;326
3367;O;07/04/2021;2109
3368;A;08/04/2021;479
3369;B;08/04/2021;621
3370;C;08/04/2021;386
3371;D;08/04/2021;308
3372;E;08/04/2021;204
3373;F;08/04/2021;187
3374;G;08/04/2021;530
3375;H;08/04/2021;256
3376;I;08/04/2021;358
3377;J;08/04/2021;1208
3378;K;08/04/2021;1426
3379;L;08/04/2021;116
3380;M;08/04/2021;515
3381;N;08/04/2021;373
3382;O;08/04/2021;1997
3383;A;09/04/2021;466
3384;B;09/04/2021;511
3385;C;09/04/2021;540
3386;D;09/04/2021;230
3387;E;09/04/2021;104
3388;F;09/04/2021;324
3389;G;09/04/2021;501
3390;H;09/04/2021;271
3391;I;09/04/2021;151
3392;J;09/04/2021;1420
3393;K;09/04/2021;1186
3394;L;09/04/2021;1533
3395;M;09/04/2021;447
3396;N;09/04/2021;372
3397;O;09/04/2021;2171
3398;A;12/04/2021;499
3399;B;12/04/2021;377
3400;C;12/04/2021;367
3401;D;12/04/2021;299
3402;E;12/04/2021;234
3403;F;12/04/2021;325
3404;G;12/04/2021;517
3405;H;12/04/2021;278
3406;I;12/04/2021;130
3407;J;12/04/2021;1248
3408;K;12/04/2021;1411
3409;M;12/04/2021;402
3410;N;12/04/2021;371
3411;O;12/04/2021;3084
3412;A;13/04/2021;532
3413;B;13/04/2021;409
3414;C;13/04/2021;477
3415;D;13/04/2021;266
3416;E;13/04/2021;271
3417;F;13/04/2021;281
3418;G;13/04/2021;558
3419;H;13/04/2021;268
3420;I;13/04/2021;168
3421;J;13/04/2021;1234
3422;K;13/04/2021;1619
3423;M;13/04/2021;419
3424;N;13/04/2021;451
3425;O;13/04/2021;2661
3426;A;14/04/2021;551
3427;B;14/04/2021;428
3428;C;14/04/2021;547
3429;D;14/04/2021;245
3430;E;14/04/2021;126
3431;F;14/04/2021;243
3432;G;14/04/2021;533
3433;H;14/04/2021;288
3434;I;14/04/2021;153
3435;J;14/04/2021;1268
3436;K;14/04/2021;16
3437;L;14/04/2021;1475
3438;M;14/04/2021;465
3439;N;14/04/2021;376
3440;A;15/04/2021;518
3441;B;15/04/2021;423
3442;C;15/04/2021;644
3443;D;15/04/2021;283
3444;E;15/04/2021;137
3445;F;15/04/2021;360
3446;G;15/04/2021;529
3447;H;15/04/2021;249
3448;I;15/04/2021;141
3449;J;15/04/2021;1424
3450;K;15/04/2021;9
3451;L;15/04/2021;14
3452;M;15/04/2021;369
3453;N;15/04/2021;353
3454;A;16/04/2021;469
3455;B;16/04/2021;323
3456;C;16/04/2021;485
3457;D;16/04/2021;221
3458;E;16/04/2021;105
3459;F;16/04/2021;322
3460;G;16/04/2021;475
3461;H;16/04/2021;247
3462;I;16/04/2021;155
3463;J;16/04/2021;1129
3464;K;16/04/2021;2
3465;L;16/04/2021;5
3466;M;16/04/2021;361
3467;N;16/04/2021;379
3468;A;19/04/2021;507
3469;B;19/04/2021;373
3470;C;19/04/2021;517
3471;D;19/04/2021;275
3472;E;19/04/2021;71
3473;F;19/04/2021;262
3474;G;19/04/2021;472
3475;H;19/04/2021;225
3476;I;19/04/2021;163
3477;J;19/04/2021;1263
3478;K;19/04/2021;3
3479;L;19/04/2021;306
3480;M;19/04/2021;350
3481;N;19/04/2021;352
3482;A;20/04/2021;557
3483;B;20/04/2021;341
3484;C;20/04/2021;513
3485;D;20/04/2021;290
3486;E;20/04/2021;157
3487;F;20/04/2021;254
3488;G;20/04/2021;490
3489;H;20/04/2021;234
3490;I;20/04/2021;155
3491;J;20/04/2021;1414
3492;K;20/04/2021;8
3493;L;20/04/2021;120
3494;M;20/04/2021;439
3495;N;20/04/2021;333
3496;A;21/04/2021;23
3497;D;21/04/2021;24
3498;F;21/04/2021;295
3499;L;21/04/2021;1
3500;A;22/04/2021;527
3501;B;22/04/2021;342
3502;C;22/04/2021;403
3503;D;22/04/2021;210
3504;E;22/04/2021;131
3505;F;22/04/2021;1
3506;G;22/04/2021;555
3507;H;22/04/2021;285
3508;I;22/04/2021;182
3509;J;22/04/2021;2128
3510;K;22/04/2021;10
3511;L;22/04/2021;17
3512;M;22/04/2021;371
3513;N;22/04/2021;334
3514;A;23/04/2021;466
3515;B;23/04/2021;301
3516;C;23/04/2021;643
3517;D;23/04/2021;267
3518;E;23/04/2021;142
3519;F;23/04/2021;176
3520;G;23/04/2021;537
3521;H;23/04/2021;228
3522;I;23/04/2021;132
3523;J;23/04/2021;1323
3524;K;23/04/2021;6
3525;L;23/04/2021;2
3526;M;23/04/2021;473
3527;N;23/04/2021;357
3528;A;26/04/2021;518
3529;B;26/04/2021;342
3530;C;26/04/2021;369
3531;D;26/04/2021;222
3532;E;26/04/2021;226
3533;F;26/04/2021;230
3534;G;26/04/2021;501
3535;H;26/04/2021;261
3536;I;26/04/2021;175
3537;J;26/04/2021;1417
3538;K;26/04/2021;6
3539;L;26/04/2021;196
3540;M;26/04/2021;344
3541;N;26/04/2021;413
3542;A;27/04/2021;512
3543;B;27/04/2021;409
3544;C;27/04/2021;689
3545;D;27/04/2021;273
3546;E;27/04/2021;184
3547;F;27/04/2021;105
3548;G;27/04/2021;590
3549;H;27/04/2021;269
3550;I;27/04/2021;153
3551;J;27/04/2021;1446
3552;K;27/04/2021;1040
3553;L;27/04/2021;184
3554;M;27/04/2021;445
3555;N;27/04/2021;379
3556;O;27/04/2021;1945
3557;A;28/04/2021;491
3558;B;28/04/2021;341
3559;C;28/04/2021;512
3560;D;28/04/2021;298
3561;E;28/04/2021;171
3562;F;28/04/2021;583
3563;G;28/04/2021;560
3564;H;28/04/2021;262
3565;I;28/04/2021;191
3566;J;28/04/2021;1745
3567;K;28/04/2021;1230
3568;L;28/04/2021;2
3569;M;28/04/2021;451
3570;N;28/04/2021;369
3571;O;28/04/2021;181
3572;A;29/04/2021;425
3573;B;29/04/2021;309
3574;C;29/04/2021;483
3575;D;29/04/2021;296
3576;E;29/04/2021;226
3577;F;29/04/2021;299
3578;G;29/04/2021;520
3579;H;29/04/2021;282
3580;I;29/04/2021;161
3581;J;29/04/2021;1486
3582;K;29/04/2021;1334
3583;L;29/04/2021;532
3584;M;29/04/2021;552
3585;N;29/04/2021;359
3586;O;29/04/2021;171
3587;A;30/04/2021;414
3588;B;30/04/2021;320
3589;C;30/04/2021;628
3590;D;30/04/2021;237
3591;E;30/04/2021;183
3592;F;30/04/2021;257
3593;G;30/04/2021;459
3594;H;30/04/2021;241
3595;I;30/04/2021;178
3596;J;30/04/2021;1347
3597;K;30/04/2021;1359
3598;M;30/04/2021;622
3599;N;30/04/2021;338
3600;O;30/04/2021;168
