ID;PRC;DT_ENTD_PRC;RESULTADO
605;B;01/07/2020;235
606;C;01/07/2020;510
607;D;01/07/2020;297
608;E;01/07/2020;466
609;F;01/07/2020;417
610;G;01/07/2020;1366
611;H;01/07/2020;408
612;I;01/07/2020;415
613;J;01/07/2020;1426
614;K;01/07/2020;1441
615;L;01/07/2020;51
616;M;01/07/2020;592
617;N;01/07/2020;331
618;O;01/07/2020;921
619;A;02/07/2020;535
620;B;02/07/2020;499
621;C;02/07/2020;532
622;D;02/07/2020;287
623;E;02/07/2020;411
624;F;02/07/2020;468
625;G;02/07/2020;1503
626;H;02/07/2020;518
627;I;02/07/2020;482
628;J;02/07/2020;1319
629;K;02/07/2020;2067
630;L;02/07/2020;158
631;M;02/07/2020;743
632;N;02/07/2020;357
633;O;02/07/2020;1384
634;A;03/07/2020;569
635;B;03/07/2020;446
636;C;03/07/2020;539
637;D;03/07/2020;212
638;E;03/07/2020;353
639;F;03/07/2020;313
640;G;03/07/2020;1744
641;H;03/07/2020;608
642;I;03/07/2020;476
643;J;03/07/2020;1802
644;L;03/07/2020;14
645;M;03/07/2020;727
646;N;03/07/2020;472
647;A;06/07/2020;799
648;B;06/07/2020;563
649;C;06/07/2020;670
650;D;06/07/2020;222
651;E;06/07/2020;309
652;F;06/07/2020;301
653;G;06/07/2020;1368
654;H;06/07/2020;547
655;I;06/07/2020;442
656;J;06/07/2020;1725
657;L;06/07/2020;2693
658;M;06/07/2020;682
659;N;06/07/2020;604
660;A;07/07/2020;886
661;B;07/07/2020;500
662;C;07/07/2020;654
663;D;07/07/2020;216
664;E;07/07/2020;419
665;F;07/07/2020;336
666;G;07/07/2020;1779
667;H;07/07/2020;689
668;I;07/07/2020;459
669;J;07/07/2020;1687
670;K;07/07/2020;1304
671;L;07/07/2020;5
672;M;07/07/2020;882
673;N;07/07/2020;1173
674;O;07/07/2020;1308
675;A;08/07/2020;904
676;B;08/07/2020;517
677;C;08/07/2020;696
678;D;08/07/2020;239
679;E;08/07/2020;513
680;F;08/07/2020;298
681;G;08/07/2020;1491
682;H;08/07/2020;553
683;I;08/07/2020;476
684;J;08/07/2020;1710
685;K;08/07/2020;1071
686;L;08/07/2020;109
687;M;08/07/2020;673
688;N;08/07/2020;1108
689;O;08/07/2020;894
690;A;09/07/2020;709
691;B;09/07/2020;442
692;C;09/07/2020;651
693;D;09/07/2020;222
694;E;09/07/2020;435
695;F;09/07/2020;404
696;G;09/07/2020;1727
697;H;09/07/2020;632
698;I;09/07/2020;392
699;J;09/07/2020;1528
700;K;09/07/2020;983
701;L;09/07/2020;1520
702;M;09/07/2020;591
703;N;09/07/2020;1099
704;O;09/07/2020;948
705;A;10/07/2020;304
706;B;10/07/2020;475
707;C;10/07/2020;665
708;D;10/07/2020;197
709;E;10/07/2020;356
710;F;10/07/2020;379
711;G;10/07/2020;1240
712;H;10/07/2020;470
713;I;10/07/2020;448
714;J;10/07/2020;1830
715;K;10/07/2020;933
716;M;10/07/2020;497
717;N;10/07/2020;906
718;O;10/07/2020;958
719;H;11/07/2020;1
720;A;13/07/2020;1130
721;B;13/07/2020;487
722;C;13/07/2020;700
723;D;13/07/2020;187
724;E;13/07/2020;373
725;F;13/07/2020;335
726;G;13/07/2020;1120
727;H;13/07/2020;384
728;I;13/07/2020;496
729;J;13/07/2020;1941
730;K;13/07/2020;986
731;M;13/07/2020;361
732;N;13/07/2020;1072
